id,slug,url,TYPE,title,DATA,FILTER,published,created,updated,deleted,category
3,den-allvarsamma-leken,NULL,post,"Pernilla August filmar Hjalmar Söderbergs Den allvarsamma leken","Filmatiseringen av Hjalmar Söderbergs klassiska kärleksroman Den allvarsamma leken drar nu igång och regisseras av Pernilla August. Sedan tidigare är Karin Franz Körlof och Sverrir Gudnason klara för rollerna som Lydia och Arvid. Nu ansluter Michael Nyqvist i rollen som chefredaktör Markel till storfilmen. 

Inspelningarna pågår till sista veckan i maj 2015. Filmen spelas in i Stockholm, Budapest, i skärgården utanför Åmål samt hos Film i Väst. Filmen har biopremiär i september 2016.

-Det är oerhört spännande att vi äntligen är igång och filmar Den allvarsamma leken. Jag har längtat och längtat efter att få berätta en riktig kärlekshistoria. Och det slår verkligen gnistor mellan Karin och Sverrir i rollerna som Lydia och Arvid, säger Pernilla August.

Den allvarsamma leken är en berättelse om journalisten Arvid Stjärnblom och konstnärsdottern Lydia Stille som blir blixtförälskade. Drömmen om den rena, stora och oförstörda kärleken är magnetisk men priset för kärleken kräver större offer än vad Lydia och Arvid kunnat ana. Den allvarsamma leken är en passionerad och brinnande kärlekshistoria om vilka val vi har, vilka val vi inte har och vilka val vi gör och dess konsekvenser.

I rollerna:
Sverrir Gudnason – Arvid Sjöblom
Karin Franz Körlof – Lydia Stille
Michael Nyqvist – Markel
Liv Mjönäs – Dagmar
Mikkel Boe Følsgaard – Lidner
Sven Nordin – Roslin
Richard Forsgren – Lovén
Göran Ragnerstam – Anders Stille.","link,nl2br","2015-04-10 11:07:29","2015-04-10 11:07:29",NULL,NULL,Filmnyheter
4,its-alive,NULL,post,"Its alive!","Sedan i julas har det varit klart att viktorplay kommer att öppnas som en butik för filmuthyrning på nätet. Efter en intensiv vinter och vår är arbete äntligen klart och viktorplay slår nu upp sina portar online!

",nl2br,"2015-03-12 11:07:29","2015-04-10 11:07:29","2015-04-21 22:48:36",NULL,Företagsnyheter
5,turist-dominerade-guldbaggegalan,NULL,post,"Turist dominerade Guldbaggegalan","Vinnarna på Guldbaggegalan 2015 är:

**Bästa film**
Turist
Producenter: Erik Hemmendorff, Marie Kjellson och Philippe Bober

**Bästa regi**
Ruben Östlund
för Turist

**Bästa kvinnliga huvudroll**
Saga Becker
för rollen som Sebastian/ Ellie i Nånting måste gå sönder

**Bästa manliga huvudroll**
Sverrir Gudnason
för rollen som Kristian i Flugparken

**Bästa kvinnliga biroll**
Anita Wall
för rollen som Frida i Hemma

**Bästa manliga biroll**
Kristofer Hivju
för rollen som Mats i Turist

**Bästa manuskript**
Ruben Östlund
för manuskriptet till Turist

**Bästa foto**
Fredrik Wenzel
för fotot i Turist

**Bästa klipp**
Jacob Secher Schulsinger och Ruben Östlund
för klippningen av Turist

**Bästa kostym**
Cilla Rörby
för kostymerna i Gentlemen

**Bästa ljud/ljuddesign**
Andreas Franck
för ljudet i The Quiet Roar

**Bästa mask/smink**
Anna-Carin Lock och Anja Dahl
för mask/smink i Gentlemen

**Bästa originalmusik**
Mattias Bärjed och Jonas Kullhammar
för musiken i Gentlemen

**Bästa scenografi**
Ulf Jonsson, Nicklas Nilsson, Sandra Parment, Isabel Sjöstrand och Julia Tegström
för scenografin i En duva satt på en gren och funderade på tillvaron

**Bästa utländska film**
Två dagar, en natt
Regi: Jean-Pierre Dardenne och Luc Dardenne

**Bästa kortfilm**
Still Born
Regi: Åsa Sandzén

**Bästa dokumentärfilm**
Om våld
Regi: Göran Hugo Olsson

**Särskilda insatser**
Mats Holmgren

**Hedersbaggen**
Liv Ullmann

**Gullspira**
Rose-Marie Strand, Folkets Bio

**Biopublikens pris**
Micke & Veronica, producent: Lena Rehnberg","nl2br,markdown","2015-04-10 11:07:29","2015-04-10 11:07:29","2015-04-21 22:50:28",NULL,NULL
15,foretaget,NULL,part,Företaget,"Företaget VIKTORPLAY startades 2015 och ägs och drivs av [Viktor Kjellberg](www.viktorkjellberg.com).",markdown,"2015-04-10 12:45:26","2015-04-10 12:45:51","2015-04-21 22:06:24",NULL,NULL
16,tjansten,NULL,part,Tjänsten,"Med VIKTORPLAY kan du hyra och se på film via internet. Om du inte redan är medlem, passa på att bli det. Som medlem erhåller du rabatt på utvalda filmer och får chansen att vara med i spännande tävlingar. Just nu har du möjlighet att som medlem spela ett tärningsspel där vinnarna är med i en utlottning av en månads fri filmvisning!",markdown,"2015-04-10 14:57:09","2015-04-10 14:57:28","2015-04-22 10:08:55",NULL,NULL
19,willem-dafoe-gor-out-of-the-furnace,NULL,post,"Willem Dafoe gör Out of the Furnace","Willem Dafoe kommer att göra Christian Bale och Casey Affleck sällskap i Relativity Medias kommande thriller Out of the Furnace.

Filmen handlar om två bröder, Bale och Affleck, av vilka den ena hamnar i fängelse och andra blir medlem i ett våldsamt kriminellt gäng. Dafeos roll i filmen är inte känd ännu. Den baseras på ett manus av Scott Cooper, som också kommer att regissera. Utöver Dafoe, Bale och Affleck har Zoe Saldana, Sam Shepard, Woody Harrelson och Forest Whitaker roller i filmen.

Out of the Furnace har biopremiär under 2013.",markdown,"2012-04-12 22:27:18","2012-04-12 22:27:34",NULL,NULL,Filmnyheter
20,nye-spider-man-blir-peter-parker,NULL,post,"Nye Spider-Man blir Peter Parker ","
Spider-Man är på väg tillbaka till Marvels universum. Redan i 2016 års ""Captain America: Civil War"" förväntas den maskerade superhjälten att möta resten av The Avengers, ett samarbete som kommer att sträcka sig över flera filmer. 

Men den som hoppades på att se Miles Morales under masken lär bli besviken. Marvel-bossen Kevin Feige bekräftar idag att Spider-Mans identitet blir återigen Peter Parker. Tredje gången gillt, med andra ord.

Medan Marvel inte har bråttom med att förnya sig, lär denne Parker ändå skilja sig lite från sina föregångare, spelade av Tobey Maguire respektive Andrew Garfield. Det finns nämligen en tanke om att hans high school-studier och hur dessa krockar med superhjältandet ska få ta mer plats.

- Jag vet inte vilken skådespelare vi slutligen väljer. Men jag tror att Peter Parker är runt 15, 16 år, säger Feige till Collider.

Kevin Feige bekräftade också att de nya filmerna inte kommer att visa hur Peter Parker blev Spider-Man. 

- Vi har gjort fem filmer om Spider-Man men det finns fortfarande så mycket historier i serietidningarna som inte har berättats än. Det mest uppenbara är ""grabben som är ung och inte passar in"", tills hans får sina krafter och plötsligt slåss mot skurkar och inte kan hålla käft. Det är något vi ser fram emot.

Nye Spider-Man får sin egna långfilm 2017.",markdown,"2015-04-12 22:47:20","2015-04-12 22:47:57",NULL,NULL,Filmnyheter
22,harry-potter-spinoff-kan-fa-eddie-redmayne-i-huvudrollen,NULL,post,"""Harry Potter""-spinoff kan få Eddie Redmayne i huvudrollen","Oscarsvinnaren är favorittippad till att leta fantastiska vidunder i nya J.K. Rowling-filmatiseringen. Hösten 2016 ska vi tillbaka till J.K. Rowlings magiska värld. Då kommer första filmen i ""Fantastic Beasts and Where to Find Them"", en ny trilogi som knyter an till Harry Potters universum. 

Huvudrollen Newt Scamander kan spelas av Eddie Redmayne, skriver Variety. Redmayne vann nyligen en Oscar för sin roll som Stephen Hawking i ""The Theory of Everything"", och syns närmast i ett annat verklighetsbaserat drama, ""The Danish Girl"".

Warner Bros har också funderat på ""X-Men""-filmernas Nicholas Hoult, men än har ingen skådespelare fått ett officiellt erbjudande. 

Förutom Newt Scamander - en slags zoolog som ägnar sig åt att studera magiska djur - letar man efter två killar och två tjejer, samtliga amerikaner, till rollistan. Filmen utspelar sig 70 år innan händelserna i ""Harry Potter""-serien så vi ska inte hoppas på några spännande cameos.

Första filmen i serien får biopremiär 18 november 2016, så det är dags att börja inspelningen inom kort. David Yates är regissör och Rowling själv debuterar som manusförfattare.",markdown,"2015-04-12 22:50:08","2015-04-12 22:51:18","2015-04-21 11:13:11",NULL,NULL
23,mannen-som-raddade-fast-furious,NULL,post,"Mannen som räddade ""Fast & Furious"" ","Justin Lin, kom tillbaka, vi saknar dig. För drygt en vecka sedan hade den sjunde delen i den franchise som startade med ”The Fast and the Furious” (2001) premiär här i Sverige. Bara det faktum att vi lever i en värld där den meningen är sann är helt ofattbart ju mer man tänker på det, men det är den. Ingen under produktionen av den första filmen kunde ens ha föreställt sig vilket vackert monster det var de höll på att blåsa liv i, eller hur länge detta monster skulle gå bärsärkagång världen över. Det är dock inte särskilt konstigt, för den här seriens osannolika men verkliga framgångssaga är lika fri från logik som de filmer den innehåller. Det borde inte ha gått, det borde inte ha flugit, men det gjorde det.

En av anledningarna till detta är nog att få filmserier har gjort lika stora och vågade resor när det gäller hur dess ramar stegvis har förstorats och förändrats. Med fallskärmarna, drönarna och de demolerade städerna i ”Fast & Furious 7” färskt i minnet är det lätt att glömma att serien startade med småskaliga streetracing-tävlingar och stölder av DVD-spelare. I de senaste fyra filmerna har dessa element bara varit fotnoter och betyder inte särskilt mycket längre. Nu är insatserna högre, gravitationen svagare och bilarna snabbare än någonsin tidigare. Men hur hamnade vi här? Vad var det egentligen som hände på vägen?

Det var kombinationen av regissören Justin Lin och manusförfattaren Chris Morgan som hände. Efter Rob Cohens lyckade startskott och John Singletons skarpt kritiserade uppföljare kände Universal att serien behövde en nystart. De drog då som bekant till Japan och den lockande drifting-världen, och med sig hade de just Lin och Morgan som tog över rodret. Bortsett från Vin Diesels minimala inhopp som Dominic Toretto i slutscenen så bestod ”The Fast and the Furious: Tokyo Drift” (2006) av en helt ny uppsättning karaktärer, vilket visade sig uppröra en hel del fans. Det var då som Lin och Morgan lade i en högre växel och bestämde sig för att ta serien till en helt ny nivå, något de visste precis hur de skulle göra.

De kombinerade originalfyran från den första filmen – Vin Diesel, Paul Walker, Jordana Brewster och Michelle Rodriguez – med fanfavoriten Sung Kang från ”Tokyo Drift” i 2009 års efterlängtade ”Fast & Furious”. Rent narrativt blev det en smärre katastrof och kritikermässigt fick den storstryk, men ur ett finansiellt perspektiv dubblerades den siffra som diverse office-experter tidigare förutspått. Nystartens framgång var ett faktum. Jag personligen tycker dock att det var först med ”Fast Five” (2011) som Lin och Morgan verkligen hittade fotfästet. Det var då som de äntligen insåg att det med deras utvecklingskurva hade blivit en omöjlighet att försöka ha kvar båda fötterna på jorden, så varför då inte bara slänga upp en av fötterna på månen?

Det var precis det som de gjorde. Gravitationen, fysiken och logiken skruvades ner, samtidigt som galenskaperna, overkligheten och explosiviteten skruvades upp. Tematiken från de tidigare fyra filmerna skalades ner till det mest essentiella – brödraskap och samhörighet – och de återstående bitarna togs med till heist-genren. Dessutom tillkom ytterligare omtyckta skådespelare från tidigare filmer, exempelvis Tyrese Gibson och Chris ”Ludacris” Bridges. Resultatet är helt fantastiskt i all sin orimlighet. Bankvalv släpas längs Rio de Janeiros gator, kulorna viner som om det vore rena krigsfilmen och Vin Diesel går ett antal matcher mot Dwayne ”The Rock” Johnson. Vilken människa som helst vet väl att det sistnämnda förmodligen hade resulterat i ett svart hål som hade slukat hela galaxen om det hade skett i verkligheten, men absurditeten är högst njutbar och man köper det. Osten fullkomligt dryper från varje bildruta, men jag älskar det.

I den efterföljande ”Fast & Furious 6” (2013) omfamnas absurditeten ännu mer när stridsvagnar, militärflygplan och ombyggda Formel 1-bilar slängs in i mixen. Precis som med ”Fast Five” så lyckas man verkligen oerhört bra med de konstant häpnadsväckande actionscenerna och även comic relief-bitarna fungerar bättre än de borde göra. Efter dessa två skamlöst underhållande och på alla sätt lyckade filmer var jag därför helt med på Fast & Furious-tåget, jag var investerad i karaktärernas öden och förväntansfull inför nästa steg i deras saga. ”Guilty pleasure” är ett begrepp som snabbt kommer till tankarna, men i det här fallet är det med saftig betoning på det andra ordet, inte det första. 

Med allt detta sagt var givetvis förväntningarna inför den sjunde delen väldigt höga, trots att det tidigt stod klart att Justin Lin skulle lämna över skutan till James Wan. ”Fast & Furious 7” markerar Wans första stora actionfilm efter en rad skräckfilmer, men jag hade förtroende för att han skulle kunna ta över på ett värdigt sätt. Tyvärr blev det inte så, för den här delen är sorgligt nog en av seriens klart sämre. Paul Walkers tragiska bortgång är en tydlig faktor som spelar in och det kan inte ha varit lätt för Wan eller resten av teamet att fortsätta efter den smällen, men det valde de att göra. På flera ställen under filmens gång blir det smärtsamt märkbart att de blev tvungna att lappa ihop ett projekt som slagits i småbitar, att de ”klipper runt” Paul Walkers karaktär, använder CGI för att placera hans ansikte på hans bröder och liknande.

Men det är inte heller bara där som problemen finns, utan de hittas också i James Wans stil. All den känsla för koreografi och orientering i actionscenerna som Justin Lin skänkte serien känns som bortblåst och Wan går mer åt det frentetiska, överklippta hållet. Det är obekvämt mycket Michael Bay över det. Det zoomas, det panoreras, det klipps, det klipps och det klipps. Kamerarörelserna är så tydliga och utstuderade att det blir störigt. Ingen scen får rum att andas, utan allt blir istället en enda stor röra. Sen vet jag inte riktigt om man kan beskylla Wan – eller om det faktiskt är Chris Morgan som bör få en känga – för att komiken faller så brutalt platt, men det gör den. Den biten hade de ju verkligen fått till i de tidigare två filmerna, men den här gången är inte ens Tyrese Gibson rolig en enda gång, trots att man verkligen ser hur han desperat försöker. Sen har vi ju det här med den unkna sexismen som nu är tillbaka på ettans låga nivå eller eventuellt ännu lägre, efter små men tydliga steg bort från den typen av innehåll i tidigare filmer. Vad fan hände där?

Den har ju dock sina stunder, det får jag ändå ge den. Den snygga biljakten i Kaukasus-bergen som inleds med att Dominic & co hoppar fallskärm med sina bilar (!) är helt klart uppe och nosar på de tidigare två filmernas kvalitet. Men det är också där det tar stopp, det finns inte en enda ytterligare sekvens i filmen som når den nivån och det räcker bara inte. Vi förväntar oss mer, vi förväntar oss stordåd, vi förväntar oss Justin Lin. Istället fick vi ett gäng riktigt tråkiga skurkar, en story uppbyggd kring någon sorts hyperintelligent datorprogram – har det greppet någonsin fungerat? – och den tveklöst svagaste emotionella investeringen på länge. 

Så Justin Lin, om du läser det här (såklart du gör); kom tillbaka! Vi saknar dig, vi behöver dig och vi kan inte låta franchisen avrundas med ett så risigt kapitel. Jag är övertygad om att du har kapaciteten att snickra ihop ett riktigt majestätiskt avslut, och jag vill så himla gärna se det. Oroa dig inte, ingen klandrar dig för att du drog iväg och regisserade några kommande ”True Detective”-avsnitt, vi förstår dig till fullo, men ändå. Det är ju faktiskt här du hör hemma, bland bränt gummi, ignorerade fysiska lagar och ren galenskap. 
",markdown,"2015-04-12 22:51:18","2015-04-12 22:53:11","2015-04-21 22:07:37",NULL,Krönika
24,nytt-forsok-med-the-dark-tower,NULL,post,"Nytt försök med The Dark Tower","Den fördröjda Stephen King-filmatiseringen prövar lyckan hos Sony. Vägen från bok till bioduk har varit minst sagt lång och snårig för ""The Dark Tower"". Flera år av rykten har passerat och än är ingen kamera igång och rullar. Kanske kan det bli Sony Pictures som får liv i det fördröjda mastodont-projektet.

Efter att Stephen Kings historia snurrat hos både Universal och Warner Bros, och fått nobben, har Sony nu gått med på att delfinansiera den första filmen i serien. Den bygger på den första boken, ""The Gunslinger"", som berättar om en revolverman - Roland Deschains - och hans relation till pojken Jake Chambers när de tillsammans jagar efter mystiske Man in Black.

Stephen Kings skräck- och fantasyserie ""Det mörka tornet"" består av sju delar. Det är ett maffigt livsverk som knappast får plats i en film - det finns, precis som tidigare, planer på flera filmer och en tv-serie, skriver Deadline.

Men glöm alla omryktade skådespelare så som Aaron Paul, Javier Bardem, Russell Crowe och Christian Bale. Först och främst ska man hitta rätt regissör för jobbet.

Stephen King är iallafall glad att filmatiseringen äntligen (?) blir av:

- Jag ser fram emot att slutligen få se ""The Dark Tower"" på bio. De som har rest med Roland och hans vänner i jakten på Tornet kommer att få sina drömmar besannade. Det här blir en genial och kreativ tolkning av mina böcker, säger författaren i ett pressmeddelande.
",markdown,"2015-04-12 22:53:11","2015-04-12 22:55:30","2015-04-21 11:12:43",NULL,NULL
