id,title,director,LENGTH,YEAR,plot,image,subtext,speech,quality,format,price,imdb,youtube,published,deleted,created,updated
1,"Pulp fiction","Quentin Tarantino",NULL,1994,"Jules Winnfield and Vincent Vega are two hitmen who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace. Wallace has also asked Vincent to take his wife Mia out a few days later when Wallace himself will be out of town. Butch Coolidge is an aging boxer who is paid by Wallace to lose his next fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents.",movie/pulp-fiction.jpg,NULL,NULL,NULL,NULL,49,tt0110912,s7EdQ4FqbhY,"2015-04-01 10:10:10",NULL,"2015-04-01 10:10:10",NULL
2,"American Pie","Paul Weitz, Chris Weitz",NULL,1999,"Jim, Oz, Finch and Kevin are four friends who make a pact that before they graduate they will all lose their virginity. The hard job now is how to reach that goal by prom night. Whilst Oz begins singing to grab attention and Kevin tries to persuade his girlfriend, Finch tries any easy route of spreading rumors and Jim fails miserably. Whether it is being caught on top of a pie or on the Internet, Jim always end up with his trusty sex advice from his father. Will they achieve their goal of getting laid by prom night? or will they learn something much different.",movie/american-pie.jpg,NULL,NULL,NULL,NULL,49,tt0163651,NULL,"2015-04-01 10:10:10",NULL,"2015-04-01 10:10:10",NULL
3,Pokémon,"Kunihiko Yuyama, Michael Haigney",NULL,1999,"When a group of scientists are offered funding into genetic research if they agree to try and clone the greatest ever Pokémon, Mew, the end result is success and Mewtwo is born. However Mewtwo is bitter about his purpose in life and kills his masters. In order to become the greatest he throws open a challenge to the world to battle him and his Pokémon. Ash and his friends are one of the few groups of trainers who pass the first test and prepare for battle. However they soon find out about further cloning and Mewtwo's ultimate plan for the earth.",movie/pokemon.jpg,NULL,NULL,NULL,NULL,29,tt0190641,,"2015-04-01 10:10:10",NULL,"2015-04-01 10:10:10","2015-04-17 13:22:26"
4,Kopps,"Josef Fares",NULL,2003,"Police officer Benny is obsessed with American police cliches and livens up his own boring everyday life with dreams of duels with bad guys. But poor Benny and his colleagues doesn't have much to do in the small town of Högboträsk. Most of their days are spent drinking coffee, eating sausage waffles and chasing down stray cows. Peace and quiet is the dream of every politician, but for the Swedish authorities, the lack of crooks is reason to close the local police station. When the cops investigate a suspected act of vandalism, they realise that they themselves may be able to raise the crime statistics high enough to stay in business.",movie/kopps.jpg,NULL,NULL,NULL,NULL,49,tt0339230,NULL,"2015-04-01 10:10:10",NULL,"2015-04-01 10:10:10",NULL
5,"From Dusk Till Dawn","Quentin Tarantino",NULL,1996,"After a bank heist in Abilene with several casualties, the bank robber Seth Gecko and his psychopath and rapist brother Richard Gecko continue their crime spree in a convenience store in the middle of the desert while heading to Mexico with a hostage. They decide to stop for a while in a low-budget motel. Meanwhile the former minister Jacob Fuller is traveling on vacation with his son Scott and his daughter Kate in a RV. Jacob lost his faith after the death of his beloved wife in a car accident and quit his position of pastor of his community and stops for the night in the same motel Seth and Richard are lodged. When Seth sees the recreational vehicle, he abducts Jacob and his family to help his brother and him to cross the Mexico border, promising to release them on the next morning. They head to the truck drivers and bikers bar Titty Twister where Seth will meet with his partner Carlos in the dawn. When they are watching the dancer Santanico Pandemonium, Seth and Richard fight with ...",movie/from-dusk-till-dawn.jpg,NULL,NULL,NULL,NULL,49,tt0116367,NULL,"2015-04-01 10:10:10",NULL,"2015-04-01 10:10:10",NULL
7,Kingsman,"Matthew Vaughn",NULL,2014,"Based upon the acclaimed comic book and directed by Matthew Vaughn, Kingsman: The Secret Service tells the story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.",movie/kingsman.jpg,NULL,NULL,89,NULL,0,tt2802144,kl8F-8tR8to,"2015-05-01 11:11:11",NULL,"2015-04-01 10:10:10","2015-04-17 21:53:59"
8,"Full Metal Jacket","Stanley Kubrick",NULL,1987,"A two-segment look at the effect of the military mindset and war itself on Vietnam era Marines. The first half follows a group of recruits in boot camp under the command of the punishing Gunnery Sergeant Hartman. The second half shows one of those recruits, Joker, covering the war as a correspondent for Stars and Stripes, focusing on the Tet offensive.",movie/full-metal-jacket.jpg,NULL,NULL,29,NULL,NULL,tt0093058,x9f6JaaX7Wg,"2015-04-01 10:10:10",NULL,"2015-04-01 10:10:10",NULL
9,"Inglourious Basterds","Quentin Tarantino",NULL,2009,"In Nazi-occupied France, young Jewish refugee Shosanna Dreyfus witnesses the slaughter of her family by Colonel Hans Landa. Narrowly escaping with her life, she plots her revenge several years later when German war hero Fredrick Zoller takes a rapid interest in her and arranges an illustrious movie premiere at the theater she now runs. With the promise of every major Nazi officer in attendance, the event catches the attention of the ""Basterds"", a group of Jewish-American guerilla soldiers led by the ruthless Lt. Aldo Raine. As the relentless executioners advance and the conspiring young girl's plans are set in motion, their paths will cross for a fateful evening that will shake the very annals of history. ",movie/inglourious-basterds.jpg,NULL,NULL,NULL,NULL,49,tt0361748,-2cRY4p7KIk,"2015-04-01 10:10:10",NULL,"2015-04-01 10:10:10",NULL
10,"Django Unchained","Quentin Tarantino",NULL,2012,"Former dentist, Dr. King Schultz, buys the freedom of a slave, Django, and trains him with the intent to make him his deputy bounty hunter. Instead, he is led to the site of Django's wife who is under the hands of Calvin Candie, a ruthless plantation owner. ",movie/django-unchained.jpg,NULL,NULL,NULL,NULL,49,tt1853728,6pKZbJHa17c,"2015-04-01 10:10:10",NULL,"2015-04-01 10:10:10",NULL
11,"Vicky Cristina Barcelona","Woody Allen",NULL,2008,"Sexually adventurous Cristina and her friend Vicky, who is bright but cautious, holiday in Barcelona where they meet the celebrated and wholly seductive painter, Juan Antonio. Vicky is not about to dive into a sexual adventure being committed to her forthcoming marriage. But Cristina is immediately captivated by Juan Antonio's free spirit and his romantic allure is enhanced when she hears the delicious details of his divorce from fellow artist, the tempestuous Maria Elena.",movie/vicky-cristina-barcelona.jpg,NULL,NULL,NULL,NULL,29,tt0497465,B-RdUcXAKiw,"2015-04-01 10:10:10",NULL,"2015-04-01 10:10:10",NULL
